"PERSON_ID","PRIMARY_COLLEGE_CODE","PRIMARY_COLLEGE_DESC","PRIMARY_DEGREE_CODE","PRIMARY_DEGREE_DESC","MAJOR","MAJOR_DESC","CONC","CONC_DESC","PRIMARY_LEVEL_CODE","REPORT_LEVEL_CODE","GENDER","SEX","PPRN_CODE","PPRN_DESC","REPORT_ETHNICITY","REPORT_ETHNICITY_CODE","FLINT_PROMISE","PARENT_EUD","PARENT_EDU_DESC","FIRST_GEN","HSCH_CODE","HSCH_DESC","HSCH_GPA","PCOL_CODE","PCOL_DESC","PCOL_GPA","ACT_COMPOSITE","ACT_ENGLISH","ACT_MATH","ACT_READING","ACT_SCIENCE_REASONING","ACT_SUM_OF_STANDARD","SAT_TOTAL_COMBINED","SAT_READ_WRI","SAT_MATH"
"2040","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231560","Fowlerville High School",3.05,"001414","Lansing Community College",3.25,,,,,,,1100,550,550
"13534","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Black or African American",5,"N","3","College ","N","231473","Carman-Ainsworth High School",3.57,"001465","Michigan State University",2.98,,,,,,,1010,470,540
"4463","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Nonresident Alien",1,"N","NA","NA","NA","694416","Ningbo Foreign Language Schl",2.22,"NA","None",,,,,,,,1240,520,720
"6696","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","999998","Out of State High School",,"001766","Saginaw Valley State Univ",2,,,,,,,,,
"20472","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","Hispanic or Latino",2,"N","3","College ","N","231665","Grand Blanc Community School",3.37,"NA","None",,,,,,,,1110,580,530
"6592","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231665","Grand Blanc Community School",,"001225","Mott Community College",3,,,,,,,,,
"12396","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Two or more races",8,"N","2","High School","Y","231446","Woodhaven High School",3.48,"001607","Oakland Cmty College",3.36,,,,,,,,,
"31","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","F","F","NA","None","White",7,"N","3","College ","N","232302","Lapeer High School",3.51,"NA","None",,,,,,,,1130,530,600
"21267","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","Unknown",9,"N","2","High School","Y","233083","Port Huron High School",3.66,"001628","St Clair Co Cmty College",2.15,,,,,,,,,
"16059","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","2","High School","Y","999997","High School Equivalency (GED)",,"001225","Mott Community College",3.45,,,,,,,,,
"4467","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231473","Carman-Ainsworth High School",,"001225","Mott Community College",2.94,,,,,,,,,
"11502","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","231495","Kearsley High School",2.82,"001225","Mott Community College",3.75,,,,,,,,,
"3174","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","230634","Everest Collegiate High School",3.38,"NA","None",,26,22,28,25,28,93,,,
"9178","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231549","Genesee Early College",2.88,"NA","None",,,,,,,,,,
"1376","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","231490","Powers Catholic High School",3.23,"001225","Mott Community College",2,18,17,16,20,19,,,,
"20136","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","232885","Brandon High School",3.68,"NA","None",,,,,,,,1360,650,710
"5178","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","232255","Lake Orion High School",3.51,"NA","None",,,,,,,,1200,600,600
"20840","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","Black or African American",5,"N","3","College ","N","231665","Grand Blanc Community School",4,"001853","Univ Michigan Flint",,,,,,,,1300,580,720
"5028","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Two or more races",8,"N","3","College ","N","231473","Carman-Ainsworth High School",2.17,"001225","Mott Community College",2.8,,,,,,,1150,550,630
"8179","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","EGR","Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","231473","Carman-Ainsworth High School",,"001607","Oakland Cmty College",3.46,,,,,,,,,
"2525","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","230650","Clinton High School",3.55,"NA","None",,,,,,,,1320,650,670
"20515","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Two or more races",8,"N","3","College ","N","232292","Insight School Of Michigan",2.21,"NA","None",,,,,,,,1300,630,670
"5605","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Black or African American",5,"N","3","College ","N","231540","Flint Southwestern Academy",3.71,"NA","None",,22,21,19,24,23,,,,
"7922","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","230760","Davison High School",3.49,"001225","Mott Community College",,,,,,,,1190,600,590
"3698","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","Asian",4,"N","3","College ","N","231665","Grand Blanc Community School",3.68,"NA","None",,,,,,,,1010,,
"3156","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","232893","Lakeville Memorial High School",3.16,"NA","None",,27,27,26,29,27,109,,,
"6453","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Black or African American",5,"N","3","College ","N","233689","Walled Lake Western HS",3.56,"NA","None",,,,,,,,,,
"10320","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","F","F","NA","None","Nonresident Alien",1,"N","NA","NA","NA","900100","Unknown High School",3.73,"NA","None",,,,,,,,,,
"6409","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"Y","3","College ","N","231549","Genesee Early College",2.47,"001853","Univ Michigan Flint",,,,,,,,1030,530,500
"14769","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","Nonresident Alien",1,"N","NA","NA","NA","999998","Out of State High School",2.55,"NA","None",,,,,,,,,,
"7183","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","232229","Laingsburg Christian School",,"001175","Community C Air Force",0,,,,,,,,,
"2761","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","F","F","NA","None","Hispanic or Latino",2,"N","2","High School","Y","999998","Out of State High School",3.92,"NA","None",,,,,,,,1230,640,590
"2406","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","F","F","NA","None","White",7,"N","2","High School","Y","231900","Hartland High School",3.8,"001853","Univ Michigan Flint",,26,28,25,24,25,102,,,
"3934","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","F","F","NA","None","White",7,"N","3","College ","N","231473","Carman-Ainsworth High School",3.89,"000806","Baker College Flint",3.89,,,,,,,,,
"5516","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","F","F","NA","None","Hispanic or Latino",2,"N","3","College ","N","230130","Avondale Senior High School",3.74,"001607","Oakland Cmty College",3.55,,,,,,,1230,630,600
"6152","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","F","F","NA","None","White",7,"N","3","College ","N","232885","Brandon High School",3.94,"001246","Kettering University",2.78,25,25,28,25,23,100,1230,590,640
"7752","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231473","Carman-Ainsworth High School",3.47,"NA","None",,,,,,,,1010,470,540
"18019","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231665","Grand Blanc Community School",4.17,"NA","None",,,,,,,,1180,640,540
"796","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","H","he/him/his","White",7,"N","3","College ","N","230725","Corunna High School",3.9,"000806","Baker College Flint",2.98,,,,,,,1120,540,580
"5708","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","230440","Byron Area High School",3.44,"001225","Mott Community College",3.32,,,,,,,1220,600,620
"11474","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","230760","Davison High School",,"001225","Mott Community College",3.56,,,,,,,,,
"7980","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","231665","Grand Blanc Community School",3.81,"NA","None",,,,,,,,1360,580,780
"21944","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","NA","None","White",7,"N","2","High School","Y","231550","Flushing Senior High School",3.32,"NA","None",,,,,,,,1280,630,650
"20342","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Two or more races",8,"Y","2","High School","Y","231490","Powers Catholic High School",4.1,"NA","None",,25,25,28,22,24,98,,,
"14868","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","F","F","NA","None","White",7,"N","2","High School","Y","230110","Armada High School",3.79,"001722","Macomb Community College",3.69,,,,,,,1260,650,610
"22627","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Black or African American",5,"N","3","College ","N","697043","Our Own English High School",,"999999","Unknown",3.78,,,,,,,,,
"6647","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","2","High School","Y","233540","Swartz Creek High School",3.94,"NA","None",,,,,,,,1210,590,620
"19093","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","NA","NA","NA","232820","North Branch High School",2.67,"001225","Mott Community College",4,,,,,,,,,
"7804","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","Two or more races",8,"N","3","College ","N","970000","Home School Clearing House",3.9,"001225","Mott Community College",4,30,30,30,35,28,121,,,
"22587","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","232765","Anchor Bay High School",3.44,"001722","Macomb Community College",2.47,,,,,,,1250,590,660
"10173","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","F","F","NA","None","White",7,"N","NA","NA","NA","231900","Hartland High School",,"001225","Mott Community College",3.72,,,,,,,,,
"8022","IT","College of Innovation & Tech","BS","Bachelor of Science","CSC","Computer Science","","None","UG","UG","M","M","H","he/him/his","Nonresident Alien",1,"N","NA","NA","NA","999998","Out of State High School",2.69,"NA","None",,,,,,,,,,
"14264","IT","College of Innovation & Tech","BSEG","Bach Science Engineering","MEGN","Mechanical Engineering","","None","UG","UG","M","M","NA","None","White",7,"N","3","College ","N","230325","Birch Run High School",3.95,"001225","Mott Community College",3.2,,,,,,,1160,620,540
